molecule_id,input_filename,lambda_max,shift,Pd_X_elem,Pd-X_len
1136,1136_PdMeCl_single_pt_quick,342.5,-52.9,O,2.29169
12,12_PdMeCl_single_pt_quick,421.5,26.1,H,2.59931
136822,136822_PdMeCl_rotamer_Ar_iPr_over_single_pt_quick,359.8,-35.6,H,1.90055
146504,146504_PdMeCl_rotamer_SiMe_over_single_pt_quick,392.4,-3,H,2.28855
149973,149973_PdMeCl_tweak_Hept_over_single_pt_quick,406.1,10.7,H,2.29324
149979,149979_PdMeCl_single_pt,405.5,10.1,H,2.49769
1648,1648_PdMeCl_single_pt_quick,378,-17.4,H,1.94427
16511,16511_PdMeCl_rotamer_alkyne_over_single_pt_quick,347.6,-47.8,C-pi,2.54465
1656,1656_PdMeCl_rotamer_ArMe_over_single_pt_quick,359.8,-35.6,H,2.04822
1662,1662_PdMeCl_proper_isomer_tBuAg_single_pt_quick,408.1,12.7,H,2.5908
16670,16670_PdMeCl_single_pt_quick,383.6,-11.8,H,2.09212
16848,16848_PdMeCl_single_pt_quick,391.8,-3.6,H,2.11877
182681,182681_PdMeCl_rotamer_ArMe_over_attempt_single_pt_quick,361.4,-34,H,2.15166
182739,182739_PdMeCl_single_pt_quick,383.6,-11.8,H,2.13152
182768,182768_PdMeCl_rotamer_NMe_over_single_pt_quick,372.4,-23,H,2.12353
182847,182847_PdMeCl_single_pt_quick,355.8,-39.6,H,2.24364
182978,182978_PdMeCl_rotamer_ArMe_over_single_pt_quick,362.9,-32.5,H,2.16429
183039,183039_PdMeCl_rotamer_ArMe_over_single_pt_quick,366,-29.4,H,2.14115
183055,183055_PdMeCl_rotamer_cyclopropyl_over_single_pt_quick,353.4,-42,H,2.1455
183168,183168_PdMeCl_rotamer_ArMe_over_single_pt_quick,380.2,-15.2,H,2.15624
19864,19864_PdMeCl_NCH2_over_alkene_over_tweak_single_pt_quick,342,-53.4,C-pi,2.49744
19867,19867_PdMeCl_tweak_alkene_over_single_pt_quick,345.7,-49.7,C-pi,2.59942
19869,19869_PdMeCl_rotamer_alkene_over_single_pt_quick,344.8,-50.6,C-pi,2.48691
19872,19872_PdMeCl_rotamer_Cl_over_single_pt_quick,370.8,-24.6,Cl,2.59676
19874,19874_PdMeCl_rotamer_Ac_tBu_over_single_pt_quick,396.7,1.3,H,2.12769
19877,19877_PdMeCl_rotamer_NH_tBu_over_single_pt_quick,355.3,-40.1,H,2.02846
19880,19880_PdMeCl_single_pt_quick,360.3,-35.1,H,2.06002
19884,19884_PdMeCl_rotamer_Si_tBu_over_single_pt_quick,412,16.6,H,2.39707
19892,19892_PdMeCl_rotamer_tBuAg_Ar_flip_single_pt_quick,422.9,27.5,H,2.69809
19898,19898_PdMeCl_rotamer_Ar_over_single_pt_quick,376.8,-18.6,H,2.07103
19899,19899_PdMeCl_rotamer_butene_over_single_pt_quick,355.8,-39.6,H,2.013
19901,19901_PdMeCl_rotamer_SiHex_over_single_pt_quick,392.4,-3,H,2.04461
19903,19903_PdMeCl_rotamer_Hept_over_tweak_single_pt_quick,355.8,-39.6,H,1.99438
19904,19904_PdMeCl_rotamer_Non_over_single_pt_quick,388.8,-6.6,H,2.00547
19905,19905_PdMeCl_single_pt_quick,383.6,-11.8,H,2.01847
19929,19929_PdMeCl_rotamer_AriPr_over_single_pt_quick,397.9,2.5,H,1.85339
19937,19937_PdMeCl_rotamer_tBuAg_single_pt_quick,383.6,-11.8,H,2.2358
19939,19939_PdMeCl_rotamer_alkyne_over_single_pt_quick,346.2,-49.2,C-pi,2.53474
19961,19961_PdMeCl_rotamer_NPr_over_single_pt_quick,396.1,0.7,H,2.20743
19966,19966_PdMeCl_single_pt_quick,399.8,4.4,H,2.21655
19973,19973_PdMeCl_rotamer_OEt_over_single_pt_quick,353.9,-41.5,O,2.46776
19981,19981_PdMeCl_rotamer_OMe_over_single_pt_quick,340.7,-54.7,O,2.28933
19985,19985_PdMeCl_rotamer_ArEt_over_single_pt_quick,379.6,-15.8,H,1.94677
19991,19991_PdMeCl_single_pt_quick,326.3,-69.1,N,2.29986
19997,19997_PdMeCl_rotamer_NAr_over_single_pt_quick,375.1,-20.3,C-pi,2.71353
19998,19998_PdMeCl_rotamer_ArNMe_over_single_pt_quick,364.4,-31,H,2.14577
20035,20035_PdMeCl_rotamer_ArMe_over_single_pt_quick,356.3,-39.1,H,2.08336
20061,20061_PdMeCl_rotamer_ArS_over_single_pt_quick,325.1,-70.3,S,2.38868
20065,20065_PdMeCl_single_pt_quick,370.8,-24.6,O,2.45297
20067,20067_PdMeCl_rotamer_SiMe_over_single_pt_quick,406.8,11.4,H,2.19036
20071,20071_PdMeCl_rotamer_SiMe_over_single_pt_quick,406.8,11.4,H,2.42594
20072,20072_PdMeCl_tweak_SiMe_over_single_pt_quick,387.6,-7.8,H,2.06933
20079,20079_PdMeCl_rotamer_SiPh_over_single_pt_quick,416.7,21.3,H,2.67138
20082,20082_PdMeCl_proper_isomer_Si_over_single_pt_quick,418.1,22.7,,
20094,20094_PdMeCl_rotamer_ArMe_over_single_pt_quick,358.8,-36.6,H,2.01106
20097,20097_PdMeCl_single_pt_quick,357.3,-38.1,H,2.06998
20101,20101_PdMeCl_rotamer_ArN_over_single_pt_quick,340.2,-55.2,N,2.24661
20103,20103_PdMeCl_single_pt_quick,358.8,-36.6,H,2.08786
20107,20107_PdMeCl_rotamer_Me_over_single_pt_quick,352.4,-43,H,2.00842
20112,20112_PdMeCl_rotamer_ArMe_over_single_pt_quick,356.8,-38.6,H,2.09282
20113,20113_PdMeCl_rotamer_ArMe_over_single_pt_quick,358.3,-37.1,H,2.08895
20117,20117_PdMeCl_rotamer_ArMe_over_single_pt_quick,357.3,-38.1,H,2.10253
20126,20126_PdMeCl_tweak_ArMe_over_single_pt_quick,360.3,-35.1,H,2.05205
20130,20130_PdMeCl_rotamer_ArMe_over_single_pt_quick,353.4,-42,H,2.03445
20135,20135_PdMeCl_rotamer_ArMe_over_single_pt_quick,357.3,-38.1,H,2.09656
20136,20136_PdMeCl_single_pt_quick,334.4,-61,N,2.25219
20137,20137_PdMeCl_rotamer_ArMe_over_single_pt_quick,371.3,-24.1,H,2.12537
20140,20140_PdMeCl_single_pt_quick,377.4,-18,H,2.10685
20141,20141_PdMeCl_rotamer_ArMe_over_single_pt_quick,370.2,-25.2,H,2.12625
20147,20147_PdMeCl_single_pt_quick,441.9,46.5,,
20148,20148_PdMeCl_rotamer_ArN_over_single_pt_quick,339.3,-56.1,N,2.28071
20153,20153_PdMeCl_single_pt_quick,407.4,12,H,2.47615
20154,20154_PdMeCl_single_pt_quick,410,14.6,H,2.52177
20185,20185_PdMeCl_rotamer_F_over_single_pt_quick,369.7,-25.7,F,2.37378
20220,20220_PdMeCl_rotamer_OMe_over_single_pt_quick,340.2,-55.2,O,2.22339
20230,20230_PdMeCl_single_pt_quick,376.8,-18.6,Cl,2.75632
20242,20242_PdMeCl_single_pt_quick,406.8,11.4,H,2.39988
20246,20246_PdMeCl_rotamer_cyclopentyl_over_single_pt_quick,371.9,-23.5,H,2.15389
20247,20247_PdMeCl_single_pt_quick,365,-30.4,H,2.14455
20289,20289_PdMeCl_tweak_cageH_over_single_pt_quick,410,14.6,H,2.48504
20305,20305_PdMeCl_rotamer_Cl_over_single_pt_quick,359.3,-36.1,Cl,2.52743
20320,20320_PdMeCl_rotamer_ArO_over_single_pt_quick,350.5,-44.9,O,2.28246
20329,20329_PdMeCl_rotamer_ArBr_over_single_pt_quick,354.8,-40.6,Br,2.58326
20332,20332_PdMeCl_single_pt_quick,355.8,-39.6,Cl,2.52511
21532,21532_PdMeCl_single_pt_quick,407.4,12,H,2.31229
247447,247447_PdMeCl_rotamer_Cl_over_single_pt_quick,378.5,-16.9,Cl,2.34944
247699,247699_PdMeCl_rotamer_ArMe_over_single_pt_quick,374.6,-20.8,H,2.05973
247730,247730_PdMeCl_rotamer_ArMe_over_single_pt_quick,372.9,-22.5,H,2.05017
274,274_PdMeCl_rotamer_Pr_over_single_pt_quick,393,-2.4,H,2.11002
297,297_PdMeCl_proper_isomer_tBuAg_single_pt_quick,395.4,0,H,2.34615
30129,30129_PdMeCl_rotamer_tBuAg_single_pt_quick,408.7,13.3,H,2.49213
30132,30132_PdMeCl_rotamer_SiMe_over_single_pt_quick,382.4,-13,H,2.20251
30413,30413_PdMeCl_rotamer_alkene_over_single_pt_quick,381.9,-13.5,H,2.08646
30534,30534_PdMeCl_rotamer_AdH_over_single_pt_quick,402.3,6.9,H,2.4031
30,30_PdMeCl_single_pt_quick,422.2,26.8,,
357,357_PdMeCl_rotamer_alkene_over_single_pt_quick,352.9,-42.5,C-pi,2.68778
417,417_PdMeCl_single_pt_quick,389.4,-6,H,2.19261
424,424_PdMeCl_single_pt_quick,377.9,-17.5,H,2.21246
532,532_PdMeCl_rotamer_ArN_over_single_pt_quick,312.7,-82.7,N,2.28357
548,548_PdMeCl_rotamer_neopentyl_over_single_pt_quick,377.4,-18,H,2.08269
835,835_PdMeCl_rotamer_ArF_over_single_pt_quick,382.4,-13,F,2.38025
8,8_PdMeCl_single_pt_quick,395.4,0,H,2.30055
920,920_PdMeCl_rotamer_NiPr_methyne_over_single_pt_quick,388.2,-7.2,H,1.95153
951,951_PdMeCl_rotamers_AdH_single_pt_quick,388.2,-7.2,H,2.19029
952,952_PdMeCl_single_pt_quick,384.7,-10.7,H,2.03714
953,953_PdMeCl_single_pt_quick,378.5,-16.9,H,2.05252
