molecule_id,smiles,dipolemoment_max,pyr_P_max,pyr_alpha_max,qpole_amp_max,qpoletens_xx_max,qpoletens_yy_max,qpoletens_zz_max,sterimol_B1_max,sterimol_B5_max,sterimol_L_max,sterimol_burB1_max,sterimol_burB5_max,sterimol_burL_max,vbur_far_vbur_max,vbur_far_vtot_max,vbur_max_delta_qvbur_max,vbur_max_delta_qvtot_max,vbur_near_vbur_max,vbur_near_vtot_max,vbur_ovbur_max_max,vbur_ovbur_min_max,vbur_ovtot_max_max,vbur_ovtot_min_max,vbur_qvbur_max_max,vbur_qvbur_min_max,vbur_qvtot_max_max,vbur_qvtot_min_max,vbur_vbur_max,dipolemoment_min,pyr_P_min,pyr_alpha_min,qpole_amp_min,qpoletens_xx_min,qpoletens_yy_min,qpoletens_zz_min,sterimol_B1_min,sterimol_B5_min,sterimol_L_min,sterimol_burB1_min,sterimol_burB5_min,sterimol_burL_min,vbur_far_vbur_min,vbur_far_vtot_min,vbur_max_delta_qvbur_min,vbur_max_delta_qvtot_min,vbur_near_vbur_min,vbur_near_vtot_min,vbur_ovbur_max_min,vbur_ovbur_min_min,vbur_ovtot_max_min,vbur_ovtot_min_min,vbur_qvbur_max_min,vbur_qvbur_min_min,vbur_qvtot_max_min,vbur_qvtot_min_min,vbur_vbur_min,dipolemoment_delta,pyr_P_delta,pyr_alpha_delta,qpole_amp_delta,qpoletens_xx_delta,qpoletens_yy_delta,qpoletens_zz_delta,sterimol_B1_delta,sterimol_B5_delta,sterimol_L_delta,sterimol_burB1_delta,sterimol_burB5_delta,sterimol_burL_delta,vbur_far_vbur_delta,vbur_far_vtot_delta,vbur_max_delta_qvbur_delta,vbur_max_delta_qvtot_delta,vbur_near_vbur_delta,vbur_near_vtot_delta,vbur_ovbur_max_delta,vbur_ovbur_min_delta,vbur_ovtot_max_delta,vbur_ovtot_min_delta,vbur_qvbur_max_delta,vbur_qvbur_min_delta,vbur_qvtot_max_delta,vbur_qvtot_min_delta,vbur_vbur_delta,dipolemoment_vburminconf,pyr_P_vburminconf,pyr_alpha_vburminconf,qpole_amp_vburminconf,qpoletens_xx_vburminconf,qpoletens_yy_vburminconf,qpoletens_zz_vburminconf,sterimol_B1_vburminconf,sterimol_B5_vburminconf,sterimol_L_vburminconf,sterimol_burB1_vburminconf,sterimol_burB5_vburminconf,sterimol_burL_vburminconf,vbur_far_vbur_vburminconf,vbur_far_vtot_vburminconf,vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvtot_vburminconf,vbur_near_vbur_vburminconf,vbur_near_vtot_vburminconf,vbur_ovbur_max_vburminconf,vbur_ovbur_min_vburminconf,vbur_ovtot_max_vburminconf,vbur_ovtot_min_vburminconf,vbur_qvbur_max_vburminconf,vbur_qvbur_min_vburminconf,vbur_qvtot_max_vburminconf,vbur_qvtot_min_vburminconf,vbur_vbur_vburminconf,E_oxidation_boltzmann_average,E_reduction_boltzmann_average,E_solv_cds_boltzmann_average,E_solv_elstat_boltzmann_average,E_solv_total_boltzmann_average,Pint_P_int_boltzmann_average,Pint_P_max_boltzmann_average,Pint_P_min_boltzmann_average,Pint_dP_boltzmann_average,dipolemoment_boltzmann_average,efg_amp_P_boltzmann_average,efgtens_xx_P_boltzmann_average,efgtens_yy_P_boltzmann_average,efgtens_zz_P_boltzmann_average,fmo_e_homo_boltzmann_average,fmo_e_lumo_boltzmann_average,fmo_eta_boltzmann_average,fmo_mu_boltzmann_average,fmo_omega_boltzmann_average,fukui_m_boltzmann_average,fukui_p_boltzmann_average,nbo_P_boltzmann_average,nbo_P_ra_boltzmann_average,nbo_P_rc_boltzmann_average,nbo_bd_e_avg_boltzmann_average,nbo_bd_e_max_boltzmann_average,nbo_bd_occ_avg_boltzmann_average,nbo_bd_occ_min_boltzmann_average,nbo_bds_e_avg_boltzmann_average,nbo_bds_e_min_boltzmann_average,nbo_bds_occ_avg_boltzmann_average,nbo_bds_occ_max_boltzmann_average,nbo_lp_P_e_boltzmann_average,nbo_lp_P_occ_boltzmann_average,nbo_lp_P_percent_s_boltzmann_average,nmr_P_boltzmann_average,nmrtens_sxx_P_boltzmann_average,nmrtens_syy_P_boltzmann_average,nmrtens_szz_P_boltzmann_average,nuesp_P_boltzmann_average,pyr_P_boltzmann_average,pyr_alpha_boltzmann_average,qpole_amp_boltzmann_average,qpoletens_xx_boltzmann_average,qpoletens_yy_boltzmann_average,qpoletens_zz_boltzmann_average,somo_ra_boltzmann_average,somo_rc_boltzmann_average,sphericity_boltzmann_average,spindens_P_ra_boltzmann_average,spindens_P_rc_boltzmann_average,sterimol_B1_boltzmann_average,sterimol_B5_boltzmann_average,sterimol_L_boltzmann_average,sterimol_burB1_boltzmann_average,sterimol_burB5_boltzmann_average,sterimol_burL_boltzmann_average,surface_area_boltzmann_average,vbur_far_vbur_boltzmann_average,vbur_far_vtot_boltzmann_average,vbur_max_delta_qvbur_boltzmann_average,vbur_max_delta_qvtot_boltzmann_average,vbur_near_vbur_boltzmann_average,vbur_near_vtot_boltzmann_average,vbur_ovbur_max_boltzmann_average,vbur_ovbur_min_boltzmann_average,vbur_ovtot_max_boltzmann_average,vbur_ovtot_min_boltzmann_average,vbur_qvbur_max_boltzmann_average,vbur_qvbur_min_boltzmann_average,vbur_qvtot_max_boltzmann_average,vbur_qvtot_min_boltzmann_average,vbur_ratio_vbur_vtot_boltzmann_average,vbur_vbur_boltzmann_average,vbur_vtot_boltzmann_average,vmin_r_boltzmann_average,vmin_vmin_boltzmann_average,volume_boltzmann_average
8,CC(C)(C)P(C(C)(C)C)C(C)(C)C,0.78541,0.81482863,32.633045,2.2864656,1.1552081,0.41502175,-0.6392358,3.747826,5.9094825,6.9111395,3.8230383,5.5634437,6.860824,4.1308484,8.228518,6.910968,33.229294,67.68277,238.58348,19.419601,-0.05085241,76.681725,-0.13222693,22.811983,14.3110285,88.3484,52.366055,72.1351,0.7549814,0.7987773,33.251347,1.4345993,0.9493883,0.510235,-1.9257565,3.9628627,5.6960497,6.9177823,3.9902287,5.4607434,6.754804,7.533207,13.698819,5.9586415,29.73332,68.48268,246.54156,18.94807,0.026310733,84.56165,0.043660473,17.50992,14.536649,93.64429,51.977795,73.71912,-0.2638372,0.026042525,1.9595016,-1.0622591,-0.90320784,-0.59236836,-0.8663407,-0.23767059,0.15632854,0.2980631,-0.2232226,0.22179154,0.20322548,-2.2545452,-12.281075,1.1313977,-4.340489,-1.3691587,-11.550923,-0.23354302,-0.16769047,-3.6894531,0.06210045,-0.03881548,1.0136048,-2.7250473,-3.594088,-3.8063602,0.7368331,0.82675105,31.689957,3.2307346,2.1604168,0.66765124,-2.329428,3.7923493,5.8577714,7.313438,3.907087,5.498711,6.8902574,6.024361,20.522892,6.1797953,37.046852,68.95944,237.6419,19.951986,0.02377815,79.79764,-0.0102272695,19.787973,14.4476595,89.84453,52.5675,73.18561,0.27500692,0.0676249,-3.4225037,-3.4601474,-6.965847,17.626339,28.764818,12.907845,2.7867205,0.7974686,1.7272503,-0.7884498,-0.5856611,1.400481,-0.21820122,0.03202462,0.2516976,-0.09022508,0.015635466,0.6803157,0.031380795,0.7464673,0.70439386,1.4021921,-0.43336812,-0.40569052,1.9448788,1.939665,0.18455696,0.18090093,0.05192044,0.060357083,-0.28756228,1.9374597,49.082897,219.9569,183.12819,231.38484,265.29532,-54.201565,0.8248984,31.549753,1.9523257,1.0019038,0.2150036,-1.1574845,0.107995465,-0.42689112,0.867863,0.06662068,0.85875165,3.9306445,6.024835,6.5855074,3.970474,5.8592076,6.566506,261.35373,3.2046587,8.411844,5.5711775,41.323032,67.404045,242.07819,19.095684,0.02094845,83.92965,0.13842143,20.849024,14.705131,92.370575,50.68907,0.2778164,72.06212,253.71219,1.7566873,-0.0698876,320.95413
12,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,0.81976014,0.8830144,28.70763,1.9975069,0.8562498,0.4044862,-1.1941597,4.0098853,6.177376,7.2970023,4.0420427,6.076985,7.1760206,5.0373154,9.588899,6.6990476,39.047977,70.33585,254.39725,19.481184,0.053999465,79.13736,-0.01566602,21.925417,15.056795,84.9249,55.67239,75.10733,1.0371491,0.84557515,24.65701,1.1723058,0.85875005,0.6613328,-1.4894776,4.05697,5.7492075,6.6440005,3.9698741,5.4201274,6.509464,2.3755903,1.1290007,4.291671,19.743254,67.06523,258.48886,19.266586,0.038947426,79.30416,0.1053485,19.74341,11.850752,87.54977,47.28698,66.12266,-0.16480452,0.041889112,3.895032,-0.17892417,-0.62384117,-0.41863954,-0.077407055,-0.0259489,0.15702806,0.8167475,-0.06409593,0.71495813,0.7157833,0.17170252,-2.5945535,2.1399155,4.5567455,2.3857045,-3.312511,0.70675015,-0.08338972,-0.79461074,-0.002396382,2.8650198,2.0404367,1.7776688,0.8305286,0.6697029,1.0842477,0.8526777,28.600727,3.0714562,1.8994764,0.5454874,-2.740749,4.054496,5.862263,7.394428,4.0717006,5.553325,6.9414454,1.3575739,5.022703,6.508785,38.88411,67.02696,251.35915,19.883774,0.038310684,82.10131,0.037430592,18.404345,12.851597,89.534676,54.808846,68.00641,0.28029844,0.06972368,-3.9578905,-3.3655624,-7.425046,17.634766,29.68628,12.868638,2.8667881,1.2179573,1.7278688,-0.7371867,-0.66282237,1.4173338,-0.22244804,0.032235622,0.2538167,-0.094828226,0.016830452,0.6445247,0.03255316,0.7418931,0.7405717,1.3810171,-0.43949297,-0.4289373,1.9524369,1.9431129,0.19133906,0.18572615,0.042758446,0.051516835,-0.29991966,1.9410756,50.61755,269.75583,219.4224,282.8442,296.44952,-54.199306,0.88470685,23.427935,1.7549615,0.81630903,0.38706023,-1.5252838,0.11079576,-0.43822727,0.8502457,0.067856774,0.7847734,4.2060733,6.143364,6.449639,4.1509514,6.0542054,6.643057,276.86682,3.5343766,8.200553,5.2942986,29.990854,70.47512,258.15955,19.651546,-0.02388273,87.30866,-0.32578886,21.402498,14.062596,89.65215,54.0397,0.2714648,74.782196,271.61676,1.7670971,-0.06413505,345.0149
30,CC(C)(C)P(C1CCCCC1)C(C)(C)C,0.89589214,0.8746869,31.589151,1.2866876,0.7817398,0.02720762,-1.6649404,4.018336,6.58797,7.576771,4.0842957,6.463994,7.272931,6.8032494,12.670672,8.385912,65.591835,69.24965,273.90778,20.325184,-0.1552765,107.9811,-0.3038882,23.666664,15.2976055,117.18557,55.828598,75.41984,1.0212085,0.814724,25.704489,2.1935244,1.1568694,0.75718904,-1.512287,3.9293427,6.1629767,6.932481,3.9310532,5.7005615,6.725317,1.1330013,2.2003136,4.634387,43.728123,64.24282,265.34787,18.847921,0.008375361,99.25212,0.059304647,17.96672,13.085088,103.44223,49.366432,66.337326,-0.036394797,0.058927547,7.694571,0.06256043,-0.2672854,-0.24457133,-0.0020131555,0.19764894,0.4624068,0.6832332,0.18320274,0.3629507,0.41002902,3.5536673,2.9744358,5.5811934,20.029425,5.2655478,1.4965422,1.8585373,-0.10700406,4.115671,0.2395607,6.549218,2.2527635,9.256472,3.0388281,8.93466,0.99009174,0.83184725,30.382944,3.3362887,1.942671,0.87068456,-2.9668353,4.099048,6.377645,7.5043025,4.0961413,5.8396983,7.1501746,0.8594938,6.617813,5.121724,46.584984,64.595665,271.946,19.157553,0.028445518,102.00037,0.063493855,18.203693,13.3084545,109.01984,54.375103,64.98349,0.2763967,0.06604908,-5.259031,-3.516741,-9.093431,18.05072,30.307442,13.018186,3.142357,0.9482677,1.7251904,-0.7985014,-0.61853707,1.4100716,-0.22061357,0.02960238,0.2437683,-0.09572672,0.018726615,0.6700902,0.028217897,0.75384444,0.71150345,1.3088814,-0.43502843,-0.41285914,1.9481983,1.9378023,0.19091606,0.18287309,0.04545846,0.05429923,-0.29541844,1.9397571,49.95579,249.22148,210.52074,252.66658,297.04294,-54.2017,0.86538255,26.65249,2.213422,0.8063426,0.647951,-1.8465877,0.10859801,-0.41702676,0.8373468,0.054376885,0.850354,4.1007786,6.515253,6.9701953,4.132146,6.283741,6.8507824,291.9697,2.774603,7.252596,5.734316,59.938866,64.418564,268.56802,18.889183,-0.03604351,103.67251,-0.096076414,20.843653,14.0728855,114.98958,52.467056,0.24030086,68.657555,277.95822,1.7676865,-0.06671888,351.76666
274,CC(C)CP(C(C)(C)C)C(C)(C)C,1.0189399,0.8837579,29.944244,3.0551577,1.4967282,0.70265913,-1.2315656,3.8953247,6.178738,7.5287414,3.9001486,6.084065,7.2307115,5.941864,9.007971,8.31364,40.43347,70.143486,241.7189,20.143597,0.11793049,77.967155,0.31538013,25.39273,14.808298,87.30716,50.449432,76.62953,1.070038,0.8331856,24.35494,2.2544413,0.85658425,0.36486477,-2.2763362,3.6173797,5.5671606,6.7865815,3.6539857,5.217062,6.617578,0.6695334,1.1823243,3.8879585,20.549412,62.79709,242.4352,18.641615,0.024250617,74.945724,0.0573249,16.329142,11.3578005,84.28562,39.5531,62.888268,-0.16697259,0.050000086,5.602198,-0.07138631,-0.3227019,-0.14014958,-0.068199925,0.13527915,0.44602725,1.0872439,0.18633644,0.8386554,0.6076843,3.1008997,1.1304796,6.5110717,6.942704,6.0365453,0.97185755,2.3698175,0.0127421,4.3724957,0.0065248683,6.429886,2.2075458,3.3673775,6.1081176,7.5577526,1.1067046,0.84348184,29.20583,3.216113,2.1651776,0.74775016,-2.50448,3.9004407,5.8639092,7.7502494,3.8419585,5.677505,7.0069213,0.38568887,5.0279274,6.2186685,38.612045,62.78848,240.84193,19.230139,0.021634432,80.767815,-0.0065275067,17.016317,12.075831,84.29463,49.34834,63.795517,0.28160927,0.07189527,-3.8420298,-3.372853,-7.3131466,17.527872,29.29591,12.472823,3.0630832,1.3794155,1.7177708,-0.7769783,-0.6610614,1.4004629,-0.22342381,0.033580534,0.2553544,-0.09500645,0.017041663,0.65750414,0.04732854,0.74872285,0.7000537,1.3740289,-0.43787572,-0.42702255,1.9518775,1.9427704,0.1920572,0.18508384,0.041231226,0.049345084,-0.30037937,1.9420279,50.802574,271.7505,228.2482,276.19818,304.0046,-54.20021,0.88300246,24.027979,2.264311,1.112832,0.4213289,-1.75053,0.11317334,-0.43676084,0.837403,0.084512696,0.81655616,3.8448522,6.171317,6.6306605,3.7697494,6.014803,6.6607146,270.69092,3.126346,7.241702,5.5785933,36.40995,66.95552,242.20312,19.141214,0.019795451,81.79899,0.07315329,20.364431,14.389601,86.57256,45.77623,0.2813283,70.84369,254.92955,1.7629006,-0.064672574,323.85483
297,CC(C)(C)P(N[Si](C)(C)C)C(C)(C)C,0.9819567,0.8814959,29.610458,2.509311,1.3147854,1.4510317,-1.192633,3.8859212,6.2912674,7.501726,3.9631672,5.872303,7.9992704,3.9428267,8.841998,7.678231,32.255478,69.07073,280.5582,20.827112,-0.09507797,93.20612,-0.42805687,23.05293,14.3006115,91.73399,53.554115,72.996155,1.1001376,0.83373094,23.728481,1.86749,1.201934,0.18830091,-1.7245141,3.8426337,5.973371,6.750318,3.8529468,5.881195,6.64057,0.49533883,1.2759739,5.467087,29.814459,58.84414,273.978,17.794361,0.037647143,87.19308,0.07303289,16.5999,11.119846,97.083,51.52257,60.07589,0.115005694,0.043910883,5.0417995,-0.33114156,0.04146937,-0.08505923,0.108727016,0.046516936,0.39694145,0.9645917,0.02356953,0.03599539,1.1825813,4.160295,7.67714,2.6378386,1.5169197,10.386266,8.827049,3.0252445,-0.025857663,6.806154,0.009487877,6.725655,1.6666597,-3.7669806,2.1948743,14.3081255,0.7960371,0.83226866,29.606544,3.144298,1.8175822,0.33348513,-2.9255133,3.9078555,5.759812,7.7731223,3.933354,5.7971034,7.831382,0.9871777,2.6192725,4.9157996,32.673077,58.893475,283.44763,18.133083,0.037913684,95.536,0.018049067,17.076601,11.249583,97.604164,52.456097,60.08304,0.2814313,0.06433633,-2.6165297,-4.224988,-6.88429,18.270046,31.655727,13.150626,3.5458481,1.2475879,1.9411935,-1.1171794,-0.4557013,1.5521183,-0.22430806,0.026099058,0.24794789,-0.099079154,0.019653896,0.60944206,0.059770793,0.96255845,0.9004765,1.5527215,-0.4841815,-0.43151554,1.9548036,1.9446588,0.20596465,0.18506145,0.057064224,0.07205775,-0.30401397,1.9353664,51.5869,224.71257,199.92586,225.37245,248.59546,-54.181633,0.881286,24.467863,1.8903683,1.0473515,-0.15480743,-1.3666323,0.10381938,-0.41269675,0.8294398,0.09226311,0.7532552,4.0039263,6.3285747,6.5521336,3.9728663,5.91298,6.67417,296.53366,4.672298,8.359882,7.190412,25.313494,69.111374,275.203,20.258162,0.008414733,86.14366,-0.0030716457,24.317236,14.011375,90.61513,52.86412,0.26058227,72.68095,285.86057,1.774185,-0.06117017,358.6383
357,CC(C)=CCP(C(C)(C)C)C(C)(C)C,1.222107,0.8879553,28.809055,3.3086362,1.8339351,0.7633161,-1.1912363,3.905033,6.1964574,8.362571,4.0083523,6.2638288,7.1834283,6.8898487,18.747704,9.8541975,60.903156,68.03436,258.0664,19.613924,-0.009165239,89.57174,-0.7187205,21.906816,14.497115,100.596634,51.60241,74.96442,1.0044659,0.8311439,23.301685,2.4666414,0.91874325,0.3203679,-2.4099326,3.4382834,5.6191096,6.8166842,3.455485,5.011628,6.612119,0.38321462,0.58263,3.282344,20.049276,60.081757,251.60648,17.934734,0.019766334,75.3806,0.017017879,16.03847,11.115928,82.75254,38.12957,60.60624,0.13395809,0.050570343,5.481631,0.65149754,0.013143234,0.4438209,0.5341133,0.35097015,0.63297075,1.3663747,0.45154086,1.200027,0.6379962,3.2705681,8.20179,5.3854694,35.88406,7.1907825,5.920981,2.8554392,-0.18080692,10.83811,0.09371191,5.3037057,2.1357353,18.432613,8.9440975,9.9782505,1.0265925,0.839474,29.092566,3.0150592,2.1503055,0.38483182,-2.675221,3.6375492,6.053664,8.486588,3.5937972,5.31767,7.0706267,0.79589653,4.6679378,6.1374664,40.08754,60.172306,258.74957,18.075403,0.009489764,87.69092,-0.030516101,16.459806,11.618587,97.22532,48.70142,61.51788,0.27500594,0.0663146,-3.941778,-4.1250315,-8.345677,17.7464,29.272024,12.356173,3.1191146,1.4248977,1.7174431,-0.7398855,-0.6209536,1.3830386,-0.21956705,0.01598439,0.23641914,-0.101136215,0.021114817,0.58148676,0.02835745,0.7544873,0.71890867,1.2824669,-0.4357409,-0.423955,1.9455569,1.937193,0.18571725,0.18032372,0.046614032,0.05323499,-0.30370194,1.9410938,51.956326,273.2342,221.6746,274.77744,294.80432,-54.198128,0.87871546,23.925772,2.384309,0.9388771,0.056642935,-1.9256842,0.11192316,-0.40543553,0.8389609,0.060252976,0.7159666,3.7581933,6.1924715,6.958711,3.7097175,6.142245,6.788534,280.85294,4.3149967,11.050677,6.7509055,45.76038,62.82236,254.91678,18.776417,-0.009206772,84.55975,0.29786152,20.82238,14.068922,88.546326,46.914913,0.25318596,68.00403,270.085,1.7687552,-0.06572613,338.042
417,CC(C)(C)P(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,0.88465136,0.8356146,31.447725,5.1007257,1.6348721,0.09429247,-3.215101,3.7660012,6.996847,8.103918,4.091612,6.604733,6.9907117,5.0344687,11.475894,9.353359,75.28409,67.34242,381.4422,20.172169,0.35883695,141.22243,0.07268588,26.15874,13.899927,140.28304,60.119553,73.430466,1.1372904,0.79542667,29.396322,3.7711313,2.725165,0.42894194,-2.774994,4.0025177,6.661317,7.738238,4.1663384,6.4012766,7.0901833,2.634322,7.2092266,5.5954075,73.3545,67.01111,382.94888,19.601748,-0.006665745,127.91135,0.028652962,17.352617,13.315092,135.45111,56.23017,70.27615,0.23660338,0.04003655,3.5701764,2.3156884,-0.8891429,-0.21235375,1.508279,0.061190873,0.3888082,0.0064718085,0.049499538,0.2262253,-0.3099089,1.3233609,2.6184678,2.1105175,2.2470865,-0.7119912,3.646608,-0.5318922,0.18172133,5.7357225,0.41469854,1.7476923,1.0811418,-2.530553,-4.3758817,2.8213356,1.2135991,0.82570875,29.934422,3.6889822,2.3840458,0.9387188,-2.8774524,3.973521,6.7624617,8.014956,3.9472558,6.3473344,7.1317754,1.87368,7.008609,6.484765,73.51614,66.99989,381.36575,19.607286,-0.107576154,138.82202,0.044443466,20.161898,13.744565,142.72212,59.02638,69.902,0.2707042,0.04612991,-9.295872,-3.4552476,-12.724739,19.850925,32.090332,13.7321005,3.5745277,1.130509,1.7478881,-0.83965814,-0.5763325,1.4226937,-0.21865018,0.011201849,0.23480158,-0.107035235,0.024839005,0.5976227,0.06858141,0.7953741,0.71559536,1.3173974,-0.43181545,-0.41384587,1.9456073,1.9383248,0.20087507,0.19653426,0.043604027,0.053289857,-0.27714536,1.9307618,47.740803,253.23712,208.20229,252.44786,292.17328,-54.205364,0.844084,28.694138,3.991308,1.5478652,0.48701537,-3.063201,0.08418037,-0.39893308,0.8109931,0.09262518,0.76305014,3.6249804,7.028262,7.5975747,4.129354,6.660675,7.0380826,371.86923,3.125021,10.025768,6.2041206,80.799995,66.54708,379.56693,19.675774,0.11715283,133.09312,0.4489051,21.718409,13.222205,144.96252,57.138706,0.17184599,71.39806,392.58682,1.7485788,-0.06681807,491.9215
424,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)C(C)(C)C,1.2161154,0.91419464,27.845808,3.7987545,2.095758,1.0758833,-0.46935144,4.399547,6.1543894,7.8826456,4.470518,6.208567,7.101958,11.721701,17.365093,13.173394,45.4129,79.52138,345.0621,21.364676,0.59494334,115.03593,0.11820218,29.33269,18.55307,116.78946,75.453476,90.657524,0.3839216,0.84979886,20.103237,1.3089887,0.46456978,-0.6837928,-2.8101974,4.4968886,5.822414,7.4472737,4.3559318,5.7578645,7.015186,0.560908,3.2572224,5.9914155,26.163746,69.525986,330.9824,20.492668,0.06374451,103.600586,0.10824602,19.181602,13.2272,112.36055,73.783775,69.67477,0.4819157,0.07286254,7.186727,1.5706543,0.97902685,1.1663316,1.1131127,0.21514766,0.5102466,0.40248582,0.19162421,0.44165385,0.0664954,9.627258,5.800886,6.6260433,7.933981,8.965444,9.652161,2.1757874,0.35726002,8.7717,-0.41897327,8.392147,4.555815,6.773352,0.44199723,15.654442,0.98126626,0.8862093,23.05147,3.5295696,2.461841,0.7439822,-1.9296055,4.413494,6.1887684,7.5108433,4.277196,6.0523977,6.9844875,0.82041436,5.303784,6.2720532,44.757095,69.97812,344.96436,20.822462,0.21851169,111.60267,0.4381817,19.923687,14.07159,118.48382,67.02224,69.97878,0.25040478,0.068444364,-4.6605015,-4.007081,-8.910974,18.70329,32.48079,13.058962,3.4634302,0.85344356,2.097457,-1.0860186,-0.63281584,1.7047914,-0.20568542,0.034205448,0.23759304,-0.084757514,0.014739797,0.060049534,0.010536899,1.1341001,1.202454,1.3516525,-0.52362055,-0.48594886,1.9588063,1.9475056,0.23441236,0.2006601,0.08552565,0.093392976,-0.29412752,1.9337084,51.703617,177.13063,91.472824,187.1258,252.02943,-54.173897,0.85530037,27.857744,2.0884836,1.2323049,0.611228,-1.9636168,0.10627791,-0.38892996,0.8302149,-0.0054495614,0.06929855,4.487322,6.21012,7.4364853,4.426363,5.94392,7.212193,333.54523,8.463139,13.137074,8.624861,41.21924,79.228714,336.15744,23.115091,0.42742127,106.43362,0.22322844,27.353546,17.318695,116.670364,74.30476,0.2522873,88.966515,353.51318,1.7435895,-0.0583444,442.44965
532,CN(C)c1ccccc1P(C(C)(C)C)C(C)(C)C,1.4514362,0.85190207,30.913551,5.510202,3.3979268,-0.09805379,-2.2267015,3.928582,6.4112744,7.5449157,3.9394717,6.418988,7.003617,14.175743,21.962702,17.891762,67.999626,71.82307,285.4002,21.798075,0.16312234,104.62347,-0.51127994,33.822395,15.640783,121.25298,50.94832,85.205734,0.81961954,0.81674075,27.001688,3.0057724,1.9734886,-0.972551,-3.9027019,3.9420764,6.2071667,7.52272,3.9613261,6.106142,7.0566325,9.116757,17.763742,9.968071,69.695786,71.552086,294.46692,21.590841,0.06347563,107.12569,0.09677948,28.626688,14.730245,133.44394,54.91733,80.65896,0.3815228,0.037719414,3.3890846,1.1008263,0.8450565,0.5601838,1.028865,-0.01585623,0.2242454,0.19174418,0.0055822404,0.37328574,0.06333837,6.721143,-1.3472588,2.5036273,7.07601,2.8318598,-1.0271885,0.29788738,-0.1301733,6.643126,-0.34438375,2.8334363,1.6234127,1.237508,1.0168995,10.271383,1.4954259,0.8170897,31.281414,6.7408266,4.2721243,0.3162459,-3.710208,3.9171143,6.478296,7.495966,4.0532513,6.2222013,7.1809335,7.183104,20.20246,11.994955,71.01583,71.09478,285.64914,21.676638,0.04177212,109.40683,0.031594314,28.47429,14.814398,130.16325,51.304146,82.873,0.25668728,0.033672538,-5.119561,-5.2126327,-10.388859,18.697742,32.988617,13.052523,3.548754,0.7867296,1.8308806,-0.8769301,-0.64404064,1.5026723,-0.20621212,-0.01735045,0.19287382,-0.11112316,0.033795442,0.30215344,0.03707178,0.7777225,0.7347891,1.2080626,-0.44284672,-0.4229683,1.9455522,1.9345493,0.20643021,0.1885942,0.051534887,0.062650874,-0.28865013,1.9236362,49.712738,253.59845,223.56459,264.9407,286.09573,-54.197468,0.8425378,28.212652,4.2173157,3.0763733,-0.3942847,-2.6659348,0.08368162,-0.3716068,0.82138836,0.050927527,0.3852033,3.8777602,6.3228626,7.2015495,3.9254866,6.255427,7.0506287,315.44952,15.731579,22.23415,13.356294,71.44235,70.525986,292.71863,21.022678,0.40519503,105.61357,-0.17602035,30.826082,15.528167,126.85666,52.234035,0.2766595,86.19537,317.83075,1.7645706,-0.06393133,389.016
548,CC(C)(C)CP(CC(C)(C)C)CC(C)(C)C,1.107741,0.95809495,20.808079,2.101278,0.86059284,1.7645017,-0.93802696,4.577477,6.2843065,7.9922056,4.501453,6.05885,7.6007853,6.7804685,9.858306,12.976757,34.122498,77.86186,300.40192,21.325518,1.3744112,91.68745,1.4247994,23.632961,19.234356,88.341835,61.3321,83.76245,1.0846598,0.9094208,14.109367,0.9948986,0.6845939,0.8095264,-1.8768735,4.1567297,6.0520706,5.759604,4.095486,6.1891317,5.833748,4.480284,4.332837,3.8988779,19.599068,67.20674,295.2909,20.987198,0.048770946,85.40439,0.10965429,22.57558,10.953251,91.35084,54.366314,71.888626,0.15384641,0.04757623,6.7119894,1.2854846,0.20620072,0.3132355,1.2288681,0.50660235,0.26425588,1.7815604,0.3899708,0.09232273,1.5964693,1.387949,5.8472424,9.07592,16.255825,9.226566,3.0826664,0.8179127,1.5516214,5.0148573,0.19744702,1.0882405,7.8519964,1.9150705,2.5824106,11.064011,1.1844351,0.9140477,20.41865,2.9861631,1.6998122,0.33983058,-2.8491714,4.2936897,6.3568726,7.6142783,4.216083,6.256184,7.443417,3.560945,5.8665423,12.8043375,37.58133,68.24976,298.3643,21.039429,0.050756592,90.86627,0.033301417,25.597897,11.747152,91.65643,55.784157,73.09026,0.28383744,0.07104306,-4.926529,-3.1621473,-8.315134,17.811867,30.484797,12.879654,3.1807294,1.1386845,1.730228,-0.7112589,-0.704084,1.4075592,-0.22698812,0.03249849,0.26053068,-0.09626776,0.01699429,0.59808457,0.02194053,0.7302241,0.71258307,1.33577,-0.45046547,-0.4511781,1.9685204,1.9659199,0.20434013,0.20511223,0.027558,0.02981858,-0.3186567,1.9471978,53.0776,336.37387,326.27762,351.50766,360.80344,-54.195393,0.95891696,13.950186,1.2625991,0.3795704,0.3304875,-1.3395689,0.105639905,-0.45028362,0.80436426,0.03564705,0.76316357,4.4636526,6.271021,5.807149,4.4512467,6.1272345,6.0535884,323.04358,6.9383173,9.480067,4.242316,11.667605,77.42245,296.08783,20.655846,1.1716623,84.32693,1.924298,22.947048,19.655832,92.76075,60.628304,0.26279235,83.86573,307.7774,1.7834686,-0.05422094,394.8216
